Entering execution portion
Total time:        50 seconds
Maze size:         1346532 bytes
seed,start x,start y,goal x,goal y,nodes visited by algorithm,iterations,nodes visited by agent,visits/iteration,time(s),optimal length,optimal expanded
0,1,63,90,35,6944,132,356,52,0.750000,175,3384
1,13,79,93,36,3616,79,266,45,0.437000,151,2399
3,15,23,88,92,5518,112,306,49,0.750000,158,1504
7,9,83,75,49,3458,87,256,39,0.359000,136,1937
15,10,69,100,29,7357,120,321,61,1.079000,170,2710
31,23,86,83,40,3108,71,221,43,0.328000,114,896
63,5,62,96,21,7417,124,324,59,1.047000,172,2541
127,20,43,99,75,6716,134,360,50,0.796000,135,1751
255,8,23,81,61,5497,98,269,56,0.703000,137,1745
511,3,41,79,66,4677,90,253,51,0.641000,153,2352
1023,18,15,78,77,3107,67,227,46,0.375000,130,1328
2047,3,85,81,13,5774,100,303,57,0.735000,162,2018
4095,1,49,91,84,5970,107,262,55,0.781000,155,1991
8191,24,97,100,25,5636,97,293,58,0.781000,164,1883
16383,21,88,75,28,8307,130,306,63,1.156000,126,486
32767,8,60,79,27,6610,110,279,60,0.797000,134,1559
65535,10,98,100,21,8813,145,430,60,1.188000,183,2447
131071,15,76,95,27,8678,142,374,61,0.968000,169,3147
262143,19,85,75,46,6982,123,320,56,0.797000,123,1106
524287,18,69,82,2,3572,69,226,51,0.594000,139,1213
1048575,14,1,89,73,7366,125,357,58,0.984000,165,2650
2097151,16,72,84,18,4794,82,248,58,0.671000,134,1057
4194303,23,16,90,51,6526,118,298,55,0.781000,134,1796
8388607,3,83,97,16,8159,117,280,69,1.297000,193,3837
16777215,17,53,99,41,4797,97,247,49,0.579000,154,2552
33554431,4,24,83,55,4870,98,287,49,0.562000,148,2150
67108863,24,81,82,42,2857,69,199,41,0.312000,117,1134
134217727,16,70,81,18,4518,93,271,48,0.516000,141,1403
268435455,22,51,76,1,4240,72,241,58,0.485000,116,997
536870911,1,90,99,18,8350,130,346,64,1.172000,194,2971
1073741823,17,76,95,13,10451,144,378,72,1.531000,173,2782
2147483647,0,52,86,6,5340,113,317,47,0.625000,182,2645
4294967295,23,67,97,6,5870,84,254,69,0.921000,151,1458
8589934591,15,85,83,31,5909,124,339,47,0.609000,126,933
17179869183,16,77,80,23,4087,86,234,47,0.593000,134,1547
34359738367,21,57,89,5,4018,74,217,54,0.500000,136,1266
68719476735,11,47,82,71,7105,144,352,49,0.719000,129,1632
137438953471,13,91,78,19,5660,93,269,60,0.781000,141,938
274877906943,6,88,96,20,6415,90,274,71,1.000000,162,1100
549755813887,17,76,89,47,3763,74,236,50,0.422000,129,1466
1099511627775,12,74,76,4,4569,90,282,50,0.719000,154,2130
2199023255551,7,60,87,47,5944,109,276,54,0.703000,149,2225
4398046511103,0,13,76,93,5906,94,304,62,0.781000,160,1088
8796093022207,19,25,75,73,2433,58,158,41,0.281000,110,789
17592186044415,6,44,97,60,8203,146,346,56,1.047000,159,2571
35184372088831,4,59,82,20,6974,130,332,53,0.781000,149,2056
70368744177663,6,40,86,50,7885,145,353,54,0.968000,156,2540
140737488355327,19,2,90,96,9798,128,395,76,1.469000,177,1696
281474976710655,10,13,95,71,10727,169,441,63,1.218000,171,2758
562949953421311,22,13,78,97,4931,90,289,54,0.641000,160,2358
