Entering execution portion
Total time:        47 seconds
Maze size:         1346532 bytes
seed,start x,start y,goal x,goal y,nodes visited by algorithm,iterations,nodes visited by agent,visits/iteration,time(s),optimal length,optimal expanded
0,1,63,90,35,6920,111,326,62,0.875000,175,3384
1,13,79,93,36,5576,98,254,56,0.735000,151,2399
3,15,23,88,92,7327,123,359,59,0.938000,158,1504
7,9,83,75,49,3325,85,252,39,0.343000,136,1937
15,10,69,100,29,5449,80,255,68,0.750000,170,2710
31,23,86,83,40,3766,76,221,49,0.438000,114,896
63,5,62,96,21,6819,124,332,54,1.016000,172,2541
127,20,43,99,75,7211,148,378,48,0.719000,135,1751
255,8,23,81,61,4740,106,278,44,0.531000,137,1745
511,3,41,79,66,5070,95,233,53,0.656000,153,2352
1023,18,15,78,77,4085,80,238,51,0.500000,130,1328
2047,3,85,81,13,7105,112,303,63,1.047000,162,2018
4095,1,49,91,84,9607,151,395,63,1.297000,155,1991
8191,24,97,100,25,2301,58,228,39,0.250000,164,1883
16383,21,88,75,28,3512,89,235,39,0.375000,126,486
32767,8,60,79,27,3462,80,220,43,0.360000,134,1559
65535,10,98,100,21,6128,85,265,72,1.016000,183,2447
131071,15,76,95,27,4664,93,262,50,0.594000,169,3147
262143,19,85,75,46,3288,83,220,39,0.546000,123,1106
524287,18,69,82,2,3850,77,240,50,0.703000,139,1213
1048575,14,1,89,73,2909,42,209,69,0.531000,165,2650
2097151,16,72,84,18,3854,79,213,48,0.500000,134,1057
4194303,23,16,90,51,5352,111,313,48,0.594000,134,1796
8388607,3,83,97,16,9194,121,353,75,1.406000,193,3837
16777215,17,53,99,41,5100,110,270,46,0.562000,154,2552
33554431,4,24,83,55,6555,117,287,56,0.797000,148,2150
67108863,24,81,82,42,3167,80,218,39,0.344000,117,1134
134217727,16,70,81,18,4928,113,316,43,0.485000,141,1403
268435455,22,51,76,1,4288,112,281,38,0.453000,116,997
536870911,1,90,99,18,8741,133,384,65,1.437000,194,2971
1073741823,17,76,95,13,7136,139,350,51,0.906000,173,2782
2147483647,0,52,86,6,7061,132,323,53,0.954000,182,2645
4294967295,23,67,97,6,5765,115,319,50,0.688000,151,1458
8589934591,15,85,83,31,2646,60,209,44,0.344000,126,933
17179869183,16,77,80,23,3879,82,224,47,0.594000,134,1547
34359738367,21,57,89,5,6679,137,344,48,0.765000,136,1266
68719476735,11,47,82,71,4774,100,283,47,0.578000,129,1632
137438953471,13,91,78,19,4720,82,265,57,0.625000,141,938
274877906943,6,88,96,20,8082,129,349,62,1.219000,162,1100
549755813887,17,76,89,47,7229,134,309,53,0.891000,129,1466
1099511627775,12,74,76,4,4577,86,260,53,0.610000,154,2130
2199023255551,7,60,87,47,5160,112,276,46,0.641000,149,2225
4398046511103,0,13,76,93,7052,122,344,57,1.047000,160,1088
8796093022207,19,25,75,73,3611,87,222,41,0.422000,110,789
17592186044415,6,44,97,60,4719,85,252,55,0.610000,159,2571
35184372088831,4,59,82,20,5112,96,268,53,0.703000,149,2056
70368744177663,6,40,86,50,5030,101,240,49,0.609000,156,2540
140737488355327,19,2,90,96,6224,102,309,61,0.937000,177,1696
281474976710655,10,13,95,71,5738,95,299,60,0.797000,171,2758
562949953421311,22,13,78,97,4392,68,237,64,0.719000,160,2358
